Single call,Multiple call,testbench auto-design,optimization
"I want to simulate VGG8 on CIFAR-10 on CIM architecture using 8b quantization for both input and weight. The batch size 100 and run for 5 batches. The memory device is 22nm RRAM with 2bit cell precision. The state conductances are 40uS, 20uS, 30uS, and 10uS with no variations. The subarray size is 128x128 and ADC precision 9bit. Other parameters use default value.","I want to simulate VGG8 on CIFAR-10 on CIM architecture using 8b quantization for both input and weight. I only want to get the PPA estimation under 22nm, 14nm, and 7nm tech node. The memory device is SRAM. The state conductances are 25uS and 167uS with no variations. The subarray size is 128x128 and ADC precision 7bit. All other parameters use default value.",I want to investigate the impact of device stuck at fault rate on the accuracy of VGG8 on CIFAR10 on CIM architecture. Use 8b quantization for both input and weight. Run 5 batches with the batch size 100. Simulate three stuck at fault cases. The memory device is RRAM with 1bit cell precision. The state conductances are 25uS and 167uS with no variations. The subarray size is 128x128 with 7b ADC. Other parameters use default.,"I’d like to design a RRAM-based CIM chip within 1600mm^2 and 1000mW based on 22nm tech node running VGG8 on CIFAR-10. Please help me select the optimal parameter combination of ADC type, ADC precision, subarray size, subarray mux maximizing the throughput. All other design space parameters and optimization input parameters use default value."
I want to simulate VGG8 on CIFAR-10 on CIM architecture using 8b quantization for both input and weight. I only want to get the PPA estimation. The memory device is 22nm RRAM with 1bit cell precision. The state conductances are 25uS and 167uS with no variations. The subarray size is 128x128 and ADC precision 7bit. All other parameters use default value.,I want to simulate swin transformer tiny and ResNet-50 on ImageNet using 8b quantization for both input and weight. Only evaluate PPA using 22nm 1bit RRAM. The conductances are 25uS and 167uS without variation. The subarray size is 128x128 with 64 parallel read and 6b Flash ADC. All other parameters use default value.,Check the accuracy drop of ResNet-18 on CIFAR-100 of different input and weight quantization precisions. Only simulate the accuracy without the PPA. Run 5 batches with the batch size 100. Use 1b cell with a subarry of 128x128 and 7b ADC. Other parameters use default.,"I’d like to design an CIM chip within 3600mm^2 based on 22nm tech node running ResNet-50 on ImageNet with the minimum power consumption. Use simulate annealing with 20 episodes to find out the optimal parameter combination of device type, ADC type, ADC precision, subarray size, subarray mux. All other design space parameters and optimization input parameters use default value."
Check the accuracy of swin transformer tiny on ImageNet dataset using 8b weight and 8b input. Only simulate the accuracy with a run of 5 batches and 100 batch size. The subarray size is 64x128 with 6b ADC and 64 parallel read. Use 1b RRAM cell with 25uS and 167uS for the conductance and 2% read noise. All other parameters use default value.,I want to simulate ResNet-18 on CIFAR-100 using 1) 8b quantization and 2) 6b for both weight and input. Only simulate the accuracy without PPA evaluation for these two cases. The subarray size is 128x128 with 7b ADC. The state conductances of the 1b cell are 10uS and 200uS. All other parameters use default value.,I want to compare the impact of read noise and device drifting on the accuracy of ResNet-18 on CIFAR-100 dataset using 8b input and 8b weight. Only run the accuracy simulation of 2 batches and 100 batch size without PPA simulation. The subarray size is 128 by 128 with 1b cell and 7b ADC. Generate 2 test cases under different read noise without retention and another 2 test cases under different retention time with 1.0 drifting coefficient without read noise. Other parameters use default value.,"Optimize the figure of merit (FoM) of the 22nm CIM chip when running ResNet-50 on ImageNet within 4000mm^2. Use genetic algorithm to find out the optimal configurations of device type, ADC precision, subarray size, subararry mux input and speedup degree. Use Flash ADC for the design. All other design space parameters and optimization input parameters use default value. "
Run the accuracy and PPA simulation of Swin transfomer tiny on ImageNet using 8b quantization for both weight and input. Use 3nm SRAM and 5b Flash ADC with a 4 input column mux. Set the subarray of both ACIM and DCIM to 32x128 with a parallel read of 32 rows. All other parameters use default value.,"I want to evaluate the accuracy of ResNet-18 on CIFAR-100 using 8b quantization for both weight and input under different device drifting time. Only simulate the accuracy with the drifting time of 1e4, 1e6, and 1e8 under 1.0 drifting coefficient. Use random drifting mode. The subarray size is 128x128 with 7b ADC. The state conductances of the 1b cell are 10uS and 200uS. All other parameters use default value.","Compare the read noise tolerance on the accuracy of different models when running ImageNet with 8b input and 8b weight quantization. Only run the accuracy simulation of 2 batches and 50 batch size without PPA simulation. The subarray size is 64 by 64 with 1b cell, 6b ADC, 64 row parallel read. Generate 2 test cases for each model. Other parameters use default value.",Optimize the compute efficiency of 22nm RRAM CIM chip when running ResNet-18 on CIFAR-100 within 1000mm^2. Check all the possible combinations based on the default design space. Use simulated annealing during optimization and set the episode to 20. All other design space parameters and optimization input parameters use default value. 
Simulate the accuracy of ResNet-50 on ImageNet using 8b input and 8b weight with 1b RRAM device drifting. Only run the accuracy simulation without PPA. The conductances are 25uS and 167uS with a drifting time of 1e8 and 1.0 drifting coefficient. The device drifts towards the middle conductance state. The subarray size is 128x128 with 7b ADC. Other parameters use default value.,"Compare the accuracy of ResNet-50 and Swin transformer tiny on ImageNet using 8b weight and 8b input under the same d2d variations. The state conductances of the 1b cell are 10uS with a 2% variation and 200uS with a 4% variation. The subarray size is 128x128. Use 7b ADC with 128 read parallelism for ResNet-50, while 6b ADC with 64 read parallelsim for Swin transformer. All other parameters use default value.",I want to investigate the PPA trend of VGG8 on CIFAR-10 on CIM architecture under the technology node scaling. Use 8b quantization for both input and weight. The memory device is SRAM with 1bit cell precision. The state conductances are 1nS and 1mS with no variations. The subarray size is 128x128 and ADC precision 7bit. Other parameters use default value.,I want to find out the highest energy efficiency of a 22nm CIM chip when running the ResNet-50 on ImageNet without any constraints. Check all the possible combinations based on the default design space. Use genetic algorithm during optimization and set the episode to 15. All other design space parameters and optimization input parameters use default value. 
Show the PPA of 22nm RRAM CIM chip while running vision transformer base model on ImageNet under 8b input and 8b weight. The ACIM subarray size is 64x256 with 6b ADC and 64 row parallel read. The DCIM subarray size is 32x128. The state conductances are 25uS and 167uS with no variations. Other parameters use default value.,"I want to simulate VGG8 on CIFAR10 on CIM architecture using 8b quantization for both input and weight. The batch size is 50 and run for 2 batches. Sweep the adc precision from 5bit to 7bit with the read noises of 0.1, 0.5, to see its impact on accuracy. The total tb cases are 3x2=6. The memory device is 22nm RRAM with 1bit cell precision. The state conductances are 25uS and 167uS with no variations. The subarray size is 128x128 and ADC precision 7bit. Other parameters use default value.",I want to investigate the PPA trend of ResNet-50 on ImageNet on CIM architecture under the different Flash ADC precisions. Use 8b quantization for both input and weight. The memory device is 22nm RRAM with 1bit cell precision. The state conductances are 25uS and 167uS with no variations. The subarray size is 128x128. Other parameters use default value.,Optimize the compute efficiency of a 22nm SRAM CIM chip when running Swin transformer tiny on ImageNet within 4000mm^2 and 300mW. Check all the possible combinations based on the default design space. Use simulated annealing during optimization and set the episode to 5. All other design space parameters and optimization input parameters use default value. 
Run the accuracy and PPA simulation of ResNet-18 on CIFAR-100 using 8b quantization for both weight and input. Use 22nm FeFET and 7b Flash ADC with a 128x128 subarray size. The HRS state is 0.125uS with 2% d2d variation and the LRS state is 167uS with 4% d2d variation. Other parameters use default.,"Compare the PPA of ResNet-50 on ImageNet with 8b input and 8b weight under 22nm 1bit SRAM, RRAM, and FeFET. SRAM states use default value, RRAM states are 25uS and 167uS, and FeFET states are 0.125uS and 167uS. The subarray size is 128x128 with 7b Flash ADC. Other parameters use default value.",Check the PPA of Swin transformer tiny on ImageNet with 8b input and 8b weight quantization under different subarray row and column conbinations. Generate 4 combinations of row and column pairs for DCIM subarray. The memory device is 22nm RRAM with 1bit cell precision. The state conductances are 25uS and 167uS with no variations. The ACIM subarray size is 128x128 with 7b FLASH ADC. Other parameters use default value.,"Find out the best figure of merit (FoM) of an CIM chip when running swin transformer tiny on ImageNet. The area constraint is 3600mm^2 and the power constraint is 250mW. Use simulated annealing and design space pruning during the optimization within 40 episodes. Find out the optimal combinations of device type, ACIM subarry size, DCIM subarray size under 5b ADC. All other design space parameters and optimization input parameters use default value. "
Simulate the accuracy and PPA of ResNet-50 on ImageNet. Only run 2 batches with a batch size of 100. Use 22nm RRAM and 128x128 subarray with 7b SAR ADCs. The conductances are 25uS and 167uS with a stuck at fault rate of 1% for both states. Other parameters use default.,"Check the accuracy and PPA when reducing the ADC precision for ResNet-50 on ImageNet with 8b input and 8 weight. Use 22nm 1b RRAM with the conductances of 25uS and 167uS. The subarray size is 128x128 with 128-row parallel read. Check ADC precisions of 7b, 6b, 5b. Only run 2 batches with a batch size of 50. All other parameters use default value.",Check the PPA of Swin transformer tiny on ImageNet with 8b input and 8b weight quantization under different ADC type and array column mux input conbinations. Generate 4 testbenches of ADC type-mux input pairs. DCIM use the same subarray size of 32x128 as the ACIM with a 5b ADC precision. The parallel read row is 32. The memory device is 22nm RRAM with 1bit cell precision. The state conductances are 25uS and 167uS with no variations. Other parameters use default value.,"Find out the best compute efficiency of a 22nm RRAM CIM chip when running vision transformer base model on ImageNet. The area constraint is 4900mm^2 without power constraint. Use simulated annealing but no design space pruning during the optimization. Find out the optimal combinations of ADC type, ADC precision, ACIM subarry size, and DCIM subarray size. All other design space parameters and optimization input parameters use default value. "
"I want to know the PPA of swin transformer tiny on ImageNet using 14nm SRAM. Only run the PPA simulation. The ACIM is designed with a size of 128x128, 64-row parallel read and 6bit Flash ADC. The DCIM subarray size is the same the ACIM. The array column mux is 8. Other parameters use default.",Check the accuracy and PPA of the 22nm 1b FeFET and 2b FeFET cases for ResNet-50 on ImageNet using 8b input and 8b weight precision. The 1b cell conductances are 0.125uS and 167uS. Two condutances of the 2b cell are 0.125uS (HRS) and 167uS (LRS). The other two intermediate conductances are the linear interpolation of HRS and LRS. The subarray size is 128x128 with 128-row parallel read and 7b FLASH ADC. All other parameters use default value.,"Simulate the PPA of ResNet-50 on ImageNet with 8b input and 8b weight quantization by sweeping subarray columns. Use 1bit 22nm RRAM cell bits. The conductances are 25uS (HRS) and 167uS (LRS). Generate 3 testbenches. The subarray row is 128 with 128-row parallel read and 7b FLASH ADC. All other parameters use default value.","I’d like to design a RRAM-based CIM chip with the deployment of swin transformer tiny running ImageNet. There is no hardware constraint. Select the optimal parameter combination of ADC type, ADC precision, ACIM and DCIM subarray size, subarray mux maximizing the throughput. Use bayesian optimization and design space pruning with 30 episodes. All other design space parameters and optimization input parameters use default value."
Simulate the accuracy of ResNet-50 on ImageNet using 6b input and 6b weight with 1b RRAM device. Only run the accuracy simulation without PPA. The conductances are 25uS (1% d2d variation) and 167uS (2% d2d variation) with a drifting time of 1e4 and 1.0 drifting coefficient. The drifting mode is random. Use 64x64 as the subarray size and 6b ADC with 64 row parallel read. All other parameters use default.,"Compare the accuracy and PPA of VGG8 on CIFAR-10, ResNet-18 on CIFAR-100, and ResNet-50 on ImageNet with 8b input and 8b weight. Run 2 batches with a batch size of 100. The subarray size is 128x128 with 7b SAR ADC. Use 14nm SRAM as the memory device. All other parameters use default.","Simulate the PPA of Swin transformer tiny and vision transformer base model on ImageNet using different subarray row sizes. Use 8b quantization for both input and weight. In each testbench, the ACIM and DCIM use the same row size. Meanwhile, the row parallel read and and ADC output level both equal to the subarray rize. Use 128 columns for both ACIM and DCIM subarrays. The memory device is 22nm FeFET with the states of 0.125uS and 167uS. Generate 2 testbenches for each model. Other parameters use default value.",Optimize the power of a 22nm CIM chip when running vision transformer base model on ImageNet within 5000mm^2. Find out the corresponding hardware parameters with the ADC less than 6b. Do not use design space pruning and only run the optimization with 20 episodes. All other design space parameters and optimization input parameters use default value.
